epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,43404.5,0.39348,0.28068,0.85474,0.89567,0.87352,0.91655,0.52798,1.63703,0.71242,1.68193,0.00078122,0.00078122,0.00078122
63,43487.6,0.38426,0.2754,0.85095,0.88707,0.87649,0.90967,0.5271,1.62782,0.71437,1.68703,0.00076124,0.00076124,0.00076124
64,43574.3,0.37631,0.27292,0.84908,0.88891,0.86667,0.90824,0.52003,1.63263,0.7256,1.70091,0.00074126,0.00074126,0.00074126
65,43657,0.36715,0.26681,0.84677,0.88365,0.87942,0.91205,0.52547,1.63889,0.72218,1.69282,0.00072128,0.00072128,0.00072128
66,43739.9,0.36096,0.26431,0.84341,0.90164,0.87579,0.91674,0.53158,1.62967,0.71263,1.70489,0.0007013,0.0007013,0.0007013
67,43824.2,0.35509,0.26036,0.84081,0.89295,0.87298,0.90944,0.52629,1.63622,0.71747,1.71114,0.00068132,0.00068132,0.00068132
68,43909,0.34179,0.25489,0.83735,0.88943,0.88061,0.91539,0.5277,1.62088,0.7188,1.69159,0.00066134,0.00066134,0.00066134
69,43994.5,0.33446,0.24818,0.83412,0.88566,0.88054,0.91105,0.52968,1.62955,0.72562,1.69706,0.00064136,0.00064136,0.00064136
70,44078.6,0.32737,0.246,0.83219,0.89611,0.87088,0.91134,0.52692,1.63336,0.72021,1.71467,0.00062138,0.00062138,0.00062138
71,44161.6,0.32392,0.24442,0.8313,0.88898,0.87656,0.91547,0.53115,1.631,0.72659,1.70761,0.0006014,0.0006014,0.0006014
72,44244.9,0.31894,0.24142,0.82902,0.88613,0.87368,0.91192,0.52681,1.63278,0.73139,1.71731,0.00058142,0.00058142,0.00058142
73,44327.8,0.3074,0.23386,0.82466,0.88927,0.8807,0.91599,0.529,1.6353,0.72919,1.72803,0.00056144,0.00056144,0.00056144
74,44410.6,0.29999,0.231,0.82316,0.88463,0.88787,0.91727,0.52987,1.63203,0.72944,1.71814,0.00054146,0.00054146,0.00054146
75,44492.9,0.2925,0.22616,0.82124,0.89904,0.8749,0.91601,0.52879,1.63015,0.72276,1.71868,0.00052148,0.00052148,0.00052148
76,44575.5,0.29137,0.22522,0.82029,0.88348,0.87228,0.90797,0.52837,1.63408,0.7384,1.72399,0.0005015,0.0005015,0.0005015
77,44657.8,0.28214,0.22023,0.81827,0.88548,0.8814,0.91339,0.52565,1.63673,0.74581,1.73194,0.00048152,0.00048152,0.00048152
78,44740.3,0.27559,0.2172,0.81574,0.88984,0.87859,0.91205,0.52676,1.6312,0.73537,1.73363,0.00046154,0.00046154,0.00046154
79,44822.9,0.27202,0.2149,0.81507,0.89679,0.87439,0.91371,0.53062,1.62938,0.73962,1.72806,0.00044156,0.00044156,0.00044156
80,44905.4,0.26627,0.21133,0.81273,0.89771,0.8786,0.91528,0.53081,1.63495,0.73956,1.73727,0.00042158,0.00042158,0.00042158
81,44988.1,0.25986,0.20882,0.81129,0.89191,0.87439,0.9111,0.52943,1.63365,0.74271,1.73852,0.0004016,0.0004016,0.0004016
82,45071,0.25498,0.20529,0.80987,0.89199,0.87158,0.91215,0.53004,1.63313,0.7474,1.74831,0.00038162,0.00038162,0.00038162
83,45154.4,0.24572,0.20102,0.80787,0.89878,0.8661,0.91391,0.5301,1.62843,0.74812,1.74627,0.00036164,0.00036164,0.00036164
84,45237.8,0.24155,0.19823,0.80656,0.87313,0.89053,0.91254,0.52929,1.63308,0.75301,1.75324,0.00034166,0.00034166,0.00034166
